property_id,url,title,price,price_display,price_currency,property_type,region,district,full_address,latitude,longitude,land_size_sqm,building_size_sqm,bedrooms,bathrooms,maid_bedrooms,maid_bathrooms,floors,carports,garages,condition,certificate_type,furnished_status,electricity_watt,facing_direction,building_material,floor_material,water_source,facilities,agent_name,agent_company,scraped_at,mall_5km,school_5km,school_2km,hospital_5km,hospital_2km,transit_1km,transit_5km,park_5km
hos40905249,https://www.rumah123.com/properti/jakarta-pusat-menteng/rumah-rapi-area-tenang-dekat-teuku-umar-hos40905249/,Rumah Rapi Area Tenang Dekat Teuku Umar,39000000000.0,Rp 39 Miliar,IDR,Rumah,Jakarta Pusat,"Menteng, Jakarta Pusat",Perumahan/Komplek,-6.19638,106.837891,586.0,700.0,4.0,4.0,1.0,2.0,2.0,2.0,,Renovasi Minimum,SHM,Unfurnished,13300.0,Barat,"Batako, Beton, Bata Merah, Bata Hebel","Granit, Keramik, Ubin",Sumur Pompa,"Keamanan 24 Jam, Akses Parkir, Taman, One Gate System, Laundry, Jogging Track, Taman Bermain, Wastafel, Kitchen Set, Kompor, Tempat Jemuran, Telepon, Taman, Teras, Backyard, Tempat Cuci",Grace,Xavier Marks Menteng,2026-02-20T18:59:21.264288+00:00,7,15,8,12,4,5,11,5
hos9287836,https://www.rumah123.com/properti/jakarta-pusat-percetakan-negara/rumah-baru-minimalis-modern-3-lt-di-rawasari-jakarta-pusat-hos9287836/,Rumah Baru Minimalis Modern 3 Lt Di Rawasari Jakarta Pusat,1290000000.0,"Rp 1,29 Miliar",IDR,Rumah,Jakarta Pusat,"Percetakan Negara, Jakarta Pusat",Jalan Percetakan Negara 11a Rawasari Cempaka Putih Jakarta Pusat ,-6.18935,106.85756,31.0,90.0,2.0,2.0,,,3.0,1.0,,Baru,SHM,Unfurnished,2200.0,Timur,"Beton, Bata Merah, Bata Hebel","Granit, Keramik, Marmer, Vinyl",PAM atau PDAM,"Keamanan 24 Jam, Masjid, Kolam Renang, One Gate System, Laundry, Wastafel, CCTV, Tempat Jemuran",Ullin Achmad,$undefined,2026-02-20T18:59:31.098298+00:00,7,24,7,13,4,5,16,8
hos40717798,https://www.rumah123.com/properti/jakarta-pusat-cempaka-putih/rumah-mewah-brand-new-cantik-cempaka-putih-dalam-komplek-bagus-hos40717798/,Rumah Mewah Brand New Cantik Cempaka Putih Dalam Komplek Bagus,8500000000.0,"Rp 8,5 Miliar",IDR,Rumah,Jakarta Pusat,"Cempaka Putih, Jakarta Pusat",Rumah Mewah Brand New Cantik Cempaka Putih Dalam Komplek Bagus | Rumah123,-6.18128,106.875351,183.0,427.0,4.0,4.0,1.0,1.0,3.0,1.0,,Bagus,SHM,Unfurnished,,Selatan,,,PAM atau PDAM,"Keamanan 24 Jam, Akses Parkir, One Gate System",Vivi Yulianti S,ERA GADING,2026-02-20T18:59:33.073692+00:00,9,18,6,11,3,3,11,6
hos40981539,https://www.rumah123.com/properti/jakarta-pusat-menteng/rumah-secondary-dengan-tanah-luas-dan-bangunan-besar-hos40981539/,Rumah di Menteng Tanah Luas dan Bangunan Besar,90000000000.0,Rp 90 Miliar,IDR,Rumah,Jakarta Pusat,"Menteng, Jakarta Pusat",Fasilitas Perumahan,-6.19638,106.837891,1008.0,1500.0,6.0,4.0,1.0,1.0,2.0,2.0,,Bagus,SHM,Unfurnished,,Selatan,,,,"Keamanan 24 Jam, Taman, Teras",Erina Evita Astrid,Erina Property,2026-02-20T18:59:43.396987+00:00,8,23,9,8,4,2,9,8
hos40876225,https://www.rumah123.com/properti/jakarta-pusat-menteng/turun-harga-murah-rumah-menteng-jakpus-strategis-jalan-raya-hos40876225/,Turun Harga Murah Rumah Menteng Jakpus Strategis Jalan Raya,43000000000.0,Rp 43 Miliar,IDR,Rumah,Jakarta Pusat,"Menteng, Jakarta Pusat",Jl. Latuharhary No.4,-6.2045293,106.8343239,840.0,800.0,5.0,3.0,1.0,1.0,2.0,5.0,,Butuh Renovasi,SHM,Unfurnished,3500.0,Selatan,,,,,Ir. Jopie Hori,Century21 Gading Boulevard,2026-02-20T19:00:01.139740+00:00,8,13,5,13,1,4,14,6
hos40411672,https://www.rumah123.com/properti/jakarta-pusat-kemayoran/rumah-mewah-4-lantai-springhill-kemayoran-dekat-golf-prj-toll-hos40411672/,Rumah 4 Lantai di Springhill Golf Residence Kemayoran Dekat Toll,4700000000.0,"Rp 4,7 Miliar",IDR,Rumah,Jakarta Pusat,"Kemayoran, Jakarta Pusat",Rekomendasi Komplek Properti,-6.16165,106.855011,153.0,363.0,5.0,5.0,1.0,1.0,4.0,1.0,,Bagus,SHM,Semi Furnished,,,,,PAM atau PDAM,"Keamanan 24 Jam, Akses Parkir, Taman, CCTV, One Gate System, Laundry, Jogging Track, Taman Bermain, Wastafel, Kitchen Set, Kompor, Tempat Jemuran, Taman, Teras, CCTV, AC, Tempat Cuci",Alfin Property,$undefined,2026-02-20T19:02:22.666264+00:00,5,15,3,12,2,5,8,8
hos41112088,https://www.rumah123.com/properti/jakarta-pusat-menteng/dijual-rumah-mewah-menteng-shm-kolam-renang-30m-hos41112088/,Dijual Rumah Mewah Menteng SHM Kolam Renang 30M,30000000000.0,Rp 30 Miliar,IDR,Rumah,Jakarta Pusat,"Menteng, Jakarta Pusat",Rekomendasi Komplek Properti,-6.1957828,106.8351718,285.0,500.0,4.0,4.0,1.0,1.0,2.0,2.0,,Bagus,SHM,Unfurnished,,Selatan,,,,"Akses Parkir, Taman, Kolam Renang, Taman, Teras",ririn azmavida,GadingPro Kemang,2026-02-20T19:02:33.264145+00:00,6,18,7,6,4,3,17,6
hos40693931,https://www.rumah123.com/properti/jakarta-pusat-senen/dijual-murah-rumah-tua-di-jln-kali-baru-timurjakpus-hos40693931/,"Dijual Murah Rumah Tua di Jln Kali Baru Timur,Jakpus",3900000000.0,"Rp 3,9 Miliar",IDR,Rumah,Jakarta Pusat,"Senen, Jakarta Pusat",Rekomendasi Komplek Properti,-6.17322,106.850693,225.0,200.0,5.0,2.0,1.0,,1.0,1.0,,Renovasi Total,SHM,Unfurnished,2200.0,Selatan,"Beton, Bata Merah",Keramik,PAM atau PDAM,"Tempat Jemuran, Teras, Tempat Cuci",Meida,GadingPro Kelapa Gading,2026-02-20T19:02:38.284401+00:00,8,14,5,8,2,4,12,6
hos40510351,https://www.rumah123.com/properti/jakarta-pusat-sumur-batu/rumah-di-jakarta-pusat-bergaya-klasik-modern-terawat-stratgis-jalan-lebar-tenang-aman-bebas-banjir-hos40510351/,"Rumah Di Jakarta Pusat, Bergaya Klasik Modern, Terawat, Stratgis, Jalan Lebar, Tenang, Aman, Bebas Banjir",7500000000.0,"Rp 7,5 Miliar",IDR,Rumah,Jakarta Pusat,"Sumur Batu, Jakarta Pusat","Rumah Di Jakarta Pusat, Bergaya Klasik Modern, Terawat, Stratgis, Jalan Lebar, Tenang, Aman, Bebas Banjir | Rumah123",-6.1857,106.853,276.0,360.0,9.0,7.0,2.0,1.0,3.0,2.0,,Bagus,SHM,Unfurnished,5500.0,Timur,Bata Merah,Granit,PAM atau PDAM,"Keamanan 24 Jam, Masjid, Akses Parkir, Taman, One Gate System, Laundry, Wastafel, Kitchen Set, Water Heater, Tempat Jemuran, Telepon, Taman, Kolam Ikan, Teras, CCTV, Tempat Cuci",Anggriyani Febrietta Dairi,Century21 Prioritas,2026-02-20T19:02:50.916665+00:00,4,17,5,6,1,4,17,9
hos41095557,https://www.rumah123.com/properti/jakarta-pusat-cempaka-putih/dijual-rumah-cempaka-putih-barat-jakarta-pusat-hos41095557/,Dijual Rumah Cempaka Putih Barat Jakarta Pusat,3900000000.0,"Rp 3,9 Miliar",IDR,Rumah,Jakarta Pusat,"Cempaka Putih, Jakarta Pusat",Rekomendasi Komplek Properti,-6.18128,106.87535,145.0,260.0,3.0,3.0,1.0,1.0,3.0,1.0,,Bagus,SHM,Unfurnished,3500.0,Timur,,,PAM atau PDAM,"Keamanan 24 Jam, Tempat Jemuran, Teras",Susi,GadingPro Harapan Indah,2026-02-20T19:02:57.529996+00:00,4,16,7,13,1,5,12,5
