property_id,url,title,price,price_display,price_currency,property_type,region,district,full_address,latitude,longitude,land_size_sqm,building_size_sqm,bedrooms,bathrooms,maid_bedrooms,maid_bathrooms,floors,carports,garages,condition,certificate_type,furnished_status,electricity_watt,facing_direction,building_material,floor_material,water_source,facilities,agent_name,agent_company,scraped_at,mall_5km,school_5km,school_2km,hospital_5km,hospital_2km,transit_1km,transit_5km,park_5km
hos39818902,https://www.rumah123.com/properti/jakarta-pusat-gunung-sahari/rumah-dan-kost-strategis-di-gunung-sahari-jakarta-pusat-hos39818902/,"Rumah dan Kost strategis di Gunung Sahari, Jakarta Pusat",23000000000.0,Rp 23 Miliar,IDR,Rumah,Jakarta Pusat,"Gunung Sahari, Jakarta Pusat",Rekomendasi Komplek Properti,-6.1537,106.83606,488.0,752.0,3.0,3.0,2.0,2.0,2.0,2.0,,Bagus,SHM,Unfurnished,24000.0,Utara,Bata Hebel,Keramik,PAM atau PDAM,"Keamanan 24 Jam, CCTV, Laundry, Wastafel, Kitchen Set, Tempat Jemuran, Taman, Teras",Andreas Hartoyo,Ray White Harapan Indah,2026-02-20T19:09:24.397375+00:00,4,14,5,10,1,6,15,8
hos40642151,https://www.rumah123.com/properti/jakarta-pusat-menteng/rumah-menteng-shm-dengan-tanah-luas-lolasi-tenang-dan-aman-hos40642151/,Rumah Menteng Shm Dengan Tanah Luas Lolasi Tenang Dan Aman,46000000000.0,Rp 46 Miliar,IDR,Rumah,Jakarta Pusat,"Menteng, Jakarta Pusat","TK Negeri Tegal , Jl. Tegal, Menteng, Menteng, Kota Jakarta Pusat, DKI Jakarta, Indonesia, 10310",-6.19638,106.837891,611.0,900.0,5.0,5.0,2.0,1.0,2.0,4.0,,Renovasi Minimum,SHM,Semi Furnished,10600.0,Selatan,"Beton, Bata Merah",Marmer,PAM atau PDAM,"Wastafel, Tempat Jemuran, Telepon, Taman, Teras, Tempat Cuci",Herry Sanyoto,GadingPro PIK,2026-02-20T19:10:15.253471+00:00,7,12,7,9,3,4,18,8
hos18907981,https://www.rumah123.com/properti/jakarta-pusat-cempaka-putih/rumah-bagus-siap-huni-kost-pintu-terpisah-cepaka-putih-jakarta-pusat-hos18907981/,Rumah Bagus Siap Huni + Kost Pintu Terpisah Cepaka Putih Jakarta Pusat,8900000000.0,"Rp 8,9 Miliar",IDR,Rumah,Jakarta Pusat,"Cempaka Putih, Jakarta Pusat",pak Irfan.,-6.18128,106.87535,360.0,600.0,7.0,5.0,1.0,1.0,2.0,,,Bagus,SHM,Unfurnished,7600.0,Barat,"Beton, Bata Merah",Keramik,Sumur Bor,"Keamanan 24 Jam, Wastafel, Tempat Jemuran, Telepon, Taman",Herry Sanyoto,GadingPro PIK,2026-02-20T19:10:22.278598+00:00,9,21,6,9,3,2,17,9
hos14165503,https://www.rumah123.com/properti/jakarta-pusat-kartini/rumah-di-kartini-pasar-baru-aman-nyaman-jkarta-pusat-hos14165503/,Rumah Di Kartini Pasar Baru Aman Nyaman Jkarta Pusat,2400000000.0,"Rp 2,4 Miliar",IDR,Rumah,Jakarta Pusat,"Kartini, Jakarta Pusat",Jln kartini jakarta pusat,-6.15158,106.84291,92.0,120.0,4.0,2.0,,,2.0,1.0,,Butuh Renovasi,SHM,Unfurnished,,Selatan,"Beton, Bata Merah",Keramik,PAM atau PDAM,"Keamanan 24 Jam, Laundry, CCTV, Tempat Jemuran, Telepon",Herry Sanyoto,GadingPro PIK,2026-02-20T19:10:26.366652+00:00,7,14,5,11,1,5,17,6
hos39511817,https://www.rumah123.com/properti/jakarta-pusat-cempaka-putih/dijual-rumah-daerah-rawasari-lokasi-strategis-hos39511817/,Dijual Rumah Daerah Rawasari Lokasi Strategis,5500000000.0,"Rp 5,5 Miliar",IDR,Rumah,Jakarta Pusat,"Cempaka Putih, Jakarta Pusat",Rekomendasi Komplek Properti,-6.18128,106.87535,202.0,180.0,5.0,2.0,1.0,,1.0,1.0,,Bagus,SHM,Furnished,,Selatan,"Batako, Beton, Bata Merah, Bata Hebel","Granit, Keramik, Marmer, Ubin",,"Keamanan 24 Jam, Akses Parkir, Taman, CCTV, One Gate System, Laundry, Jogging Track, Taman Bermain, Wastafel, Kulkas, Mesin Cuci, Kitchen Set, Kompor, Tempat Jemuran, Telepon, Taman, Teras, CCTV, AC, Tempat Cuci",Nimas,nimas wulan property,2026-02-20T19:10:32.543269+00:00,11,22,8,9,3,2,17,4
hos19240309,https://www.rumah123.com/properti/jakarta-pusat-sumur-batu/rumah-baru-minimalis-modern-2lt-di-sumur-batu-kemayoran-jakpus-hos19240309/,Rumah Baru Minimalis Modern 2Lt di Taman Solo Cempaka Putih Tengah Jakpus,1290000000.0,"Rp 1,29 Miliar",IDR,Rumah,Jakarta Pusat,"Sumur Batu, Jakarta Pusat","Jl. Cempaka Putih Tengah XXVI D D no 47, Cempaka Putih Timur, Cempaka Putih, Kota Jakarta Pusat, DKI Jakarta, Indonesia, 10510",-6.16262,106.87728,45.0,72.0,3.0,3.0,1.0,1.0,2.0,1.0,,Bagus,SHM,Unfurnished,2200.0,Selatan,"Beton, Bata Merah, Bata Hebel","Granit, Keramik, Vinyl",PAM atau PDAM,"Keamanan 24 Jam, Masjid, Akses Parkir, Taman, One Gate System, Laundry, Wastafel, Tempat Jemuran, Taman, Teras, CCTV, Tempat Cuci",Ullin Achmad,$undefined,2026-02-20T19:10:36.414660+00:00,11,16,4,9,2,6,15,8
hos14434302,https://www.rumah123.com/properti/jakarta-pusat-percetakan-negara/rumah-3-lantai-baru-shm-minimalis-modern-di-rawasari-jakarta-pusat-hos14434302/,Rumah 3 Lantai Baru SHM Minimalis Modern di Rawasari Jakarta Pusat,1070379000.0,"Rp 1,07 Miliar",IDR,Rumah,Jakarta Pusat,"Percetakan Negara, Jakarta Pusat",Jalan Percetakan Negara 11 Rawasari Cempaka Putih Jakarta Pusat ,-6.18935,106.85756,25.0,73.0,2.0,2.0,,,2.0,1.0,,Baru,SHM,Unfurnished,2200.0,Selatan,"Beton, Bata Merah, Bata Hebel","Granit, Keramik, Marmer, Vinyl",PAM atau PDAM,"Keamanan 24 Jam, Masjid, Akses Parkir, Kolam Renang, CCTV, One Gate System, Laundry, Wastafel, Tempat Jemuran, Kolam Renang",Ullin Achmad,$undefined,2026-02-20T19:11:38.474285+00:00,11,12,7,5,3,2,17,10
hos10614952,https://www.rumah123.com/properti/jakarta-pusat-cempaka-putih/rumah-baru-minimalis-modern-2lantai-di-cempaka-putih-jakpus-hos10614952/,Rumah Baru Minimalis Modern 2lantai Di Cempaka Putih Jakpus,1275000000.0,"Rp 1,27 Miliar",IDR,Rumah,Jakarta Pusat,"Cempaka Putih, Jakarta Pusat","Jalan Cempaka Putih Barat 2F, Cempaka Putih Jakarta Pusat",-6.18128,106.87535,40.0,58.0,3.0,3.0,,,2.0,1.0,,Baru,SHM,Unfurnished,2200.0,Barat,"Beton, Bata Merah, Bata Hebel","Granit, Keramik, Marmer, Vinyl",PAM atau PDAM,"Keamanan 24 Jam, Akses Parkir, Taman, CCTV, One Gate System, Laundry, Wastafel, CCTV, Tempat Jemuran",Ullin Achmad,$undefined,2026-02-20T19:11:42.053313+00:00,8,16,6,8,3,3,11,6
hos15188297,https://www.rumah123.com/properti/jakarta-pusat-cempaka-putih/rumah-mewah-minimalis-modern-2-lt-di-cempak-putih-jakpus-hos15188297/,Rumah Mewah Minimalis Modern 2 Lt Di Cempak Putih Jakpus,1326000000.0,"Rp 1,32 Miliar",IDR,Rumah,Jakarta Pusat,"Cempaka Putih, Jakarta Pusat","Jalan Cempaka Putih Barat 2B, Cempaka Putih Barat Jakarta Pusat",-6.18128,106.87535,41.0,62.0,4.0,4.0,1.0,1.0,2.0,1.0,,Baru,SHM,Unfurnished,2200.0,Utara,"Beton, Bata Merah, Bata Hebel","Granit, Keramik, Marmer, Vinyl",PAM atau PDAM,"Keamanan 24 Jam, Akses Parkir, One Gate System, Laundry, Wastafel, Tempat Jemuran",Ullin Achmad,$undefined,2026-02-20T19:11:46.046284+00:00,5,17,5,11,4,3,15,8
hos15240639,https://www.rumah123.com/properti/jakarta-pusat-cempaka-putih/rumah-3-lantai-minimalis-modern-di-rawasari-jakarta-pusat-hos15240639/,Rumah 3 Lantai Minimalis Modern Di Rawasari Jakarta Pusat,1070379000.0,"Rp 1,07 Miliar",IDR,Rumah,Jakarta Pusat,"Cempaka Putih, Jakarta Pusat",Jalan Percetakan Negara 11 Rawasari Cempaka Putih Jakarta Pusat,-6.18128,106.87535,25.0,73.0,3.0,3.0,,,3.0,1.0,,Baru,SHM,Unfurnished,,Selatan,"Beton, Bata Merah, Bata Hebel","Granit, Keramik, Marmer, Vinyl",PAM atau PDAM,"Keamanan 24 Jam, Akses Parkir, Kolam Renang, One Gate System, Laundry, Wastafel, CCTV, Tempat Jemuran",Ullin Achmad,$undefined,2026-02-20T19:11:49.436238+00:00,10,17,6,11,2,4,18,4
hos8961391,https://www.rumah123.com/properti/jakarta-pusat-sawah-besar/hunian-mewah-modern-2-lantai-di-industri-2-jakarta-pusat-hos8961391/,HUNIAN MEWAH MODERN 2 LANTAI DI INDUSTRI 2 JAKARTA PUSAT,497000000.0,Rp 497 Juta,IDR,Rumah,Jakarta Pusat,"Sawah Besar, Jakarta Pusat",Jalan Industri 2 Gunung Sahari Utara - Jakarta Pusat,-6.15273,106.84269,24.0,47.0,2.0,2.0,,,2.0,,,Baru,SHM,Unfurnished,2200.0,Barat,"Beton, Bata Merah, Bata Hebel","Granit, Keramik, Marmer, Vinyl",PAM atau PDAM,"Keamanan 24 Jam, Taman, One Gate System, Laundry, Wastafel, CCTV, Tempat Jemuran",Ullin Achmad,$undefined,2026-02-20T19:11:56.287165+00:00,6,17,3,7,2,4,16,6
hos14425854,https://www.rumah123.com/properti/jakarta-pusat-sawah-besar/rumah-minimalis-modern-di-jl-industri-2-jakarta-pusat-hos14425854/,Rumah Minimalis Modern 2 Lantai Di Jl Mangga Besar 13 Jakarta Pusat,473000000.0,Rp 473 Juta,IDR,Rumah,Jakarta Pusat,"Sawah Besar, Jakarta Pusat","No, Jl. Mangga Besar 13, Mangga Dua Selatan, Sawah Besar, Kota Jakarta Pusat, DKI Jakarta, Indonesia, 10730",-6.15273,106.84269,21.0,36.0,2.0,2.0,,,2.0,,,Baru,SHM,Unfurnished,2200.0,Timur,"Beton, Bata Merah, Bata Hebel","Granit, Keramik, Marmer, Vinyl",PAM atau PDAM,"Keamanan 24 Jam, CCTV, One Gate System, Laundry, Wastafel, Tempat Jemuran, Taman",Ullin Achmad,$undefined,2026-02-20T19:12:00.063488+00:00,5,11,7,6,2,4,17,10
hos14434530,https://www.rumah123.com/properti/jakarta-timur-matraman/rumah-minimalis-modern-2-lt-di-jl-pisangan-baru-jakarta-timur-hos14434530/,Rumah Minimalis Modern 2 Lt Di Jl Pisangan Baru Selatan Jakarta Timur,1250000000.0,"Rp 1,25 Miliar",IDR,Rumah,Jakarta Pusat,"Cempaka Putih, Jakarta Pusat","Jl. Percetakan Negara XI No. 11a, Rawasari, Cempaka Putih, Kota Jakarta Pusat, DKI Jakarta, Indonesia, 10570",-6.18128,106.875351,38.0,68.0,2.0,2.0,1.0,1.0,2.0,1.0,,Baru,SHM,Unfurnished,2200.0,Utara,"Beton, Bata Merah, Bata Hebel","Granit, Keramik, Marmer, Vinyl",PAM atau PDAM,"Keamanan 24 Jam, CCTV, One Gate System, Laundry, Wastafel, Tempat Jemuran",Ullin Achmad,$undefined,2026-02-20T19:12:04.155100+00:00,5,16,6,12,4,3,18,10
hos14434760,https://www.rumah123.com/properti/jakarta-timur-matraman/rumah-baru-2-lantai-minimalis-modern-di-pisangan-baru-utara-jakarta-hos14434760/,Rumah Baru 2 Lantai Minimalis Modern Di Pisangan Baru Utara Jakarta ,1280000000.0,"Rp 1,28 Miliar",IDR,Rumah,Jakarta Pusat,"Percetakan Negara, Jakarta Pusat","Jl. Percetakan Negara XI A No.28, Rawasari, Cempaka Putih, Kota Jakarta Pusat, DKI Jakarta, Indonesia, 10570",-6.18935,106.857559,39.0,70.0,2.0,2.0,1.0,1.0,2.0,1.0,,Bagus,SHM,Unfurnished,,Utara,"Beton, Bata Merah, Bata Hebel","Granit, Keramik, Marmer, Vinyl",PAM atau PDAM,"Keamanan 24 Jam, CCTV, One Gate System, Laundry, Wastafel, Tempat Jemuran",Ullin Achmad,$undefined,2026-02-20T19:12:06.869625+00:00,8,13,7,13,2,4,15,4
hos8955275,https://www.rumah123.com/properti/jakarta-pusat-cempaka-putih/rumah-minimalis-modern-mewah-2-lt-di-rawasari-timurjakarta-pusat-hos8955275/,"Rumah Minimalis Modern, Mewah 2 Lt Di Rawasari Timurjakarta Pusat ",1274000000.0,"Rp 1,27 Miliar",IDR,Rumah,Jakarta Pusat,"Cempaka Putih, Jakarta Pusat",Jalan Rawasari Timur 2 Cempaka Putih Timur Jakarta Pusat ,-6.18128,106.87535,58.0,100.0,3.0,3.0,1.0,1.0,2.0,1.0,,Baru,SHM,Unfurnished,,Utara,"Beton, Bata Merah, Bata Hebel","Granit, Keramik, Marmer, Vinyl",PAM atau PDAM,"Keamanan 24 Jam, Akses Parkir, CCTV, One Gate System, Laundry, Wastafel, CCTV, Tempat Jemuran",Ullin Achmad,$undefined,2026-02-20T19:13:32.753186+00:00,7,24,3,6,3,4,14,3
